# Machine: Apple M4 Max (Mac16,6)
# macOS: 26.4.1 (25E253)
# Go: go1.26.2
# Swift: release (SwiftUIBridge, rebuilt from internal/swift with P7 α+β+α-follow-up integrated)
#
# Non-animated benches (match baseline runner):
#   go test -run=nothing -bench='^Benchmark(IntStateSetSame|IntStateSetChanging|BoolStateSetSame|FloatStateSetSame|DateStateSetSame|StringStateSetSame|StateGenReadHot|StateGenReadMiss|CallbackDispatch|CallbackDispatchParallel|BoolCallbackDispatch|StringCallbackDispatch|LeafText|LeafSpacer|LeafImage|ContainerBuild|ContainerBuildReuse|ContainerBuildNoReuse|ModifierChain)$' -benchmem -count=10 -benchtime=2s .
#
# Animated + Coalesce benches (new; shorter benchtime to cap pending-writes retention):
#   go test -run=nothing -bench='^Benchmark(AnimatedStateSetSerial|AnimatedStateSetParallel|AnimatedStateSetInline|CoalesceUpperBound|CoalesceRatio)$' -benchmem -count=10 -benchtime=500ms .
#
# Rationale for split runs: the new Animated/Coalesce benches route Set
# calls through the Swift-side BridgeCommandQueue enqueue path. Go's
# test harness does not drive the main-thread runloop, so the Swift
# queue's pending-writes map accumulates across the whole bench run.
# At -benchtime=2s × 10 × many sub-benchmarks, the retained-closure
# footprint crosses available memory; -benchtime=500ms keeps it
# bounded while still delivering ≥10 samples per sub-benchmark.
#
# Post-P7: animated-state setters route through BridgeCommandQueue
# (α primitive, β integration, α follow-up @_cdecl C-ABI counter
# accessors). Off-main callers enqueue with a single armed flush per
# frame; main-thread callers apply inline inside withAnimation. New
# AnimatedState* and Coalesce* benches report coalescedWrites and
# mainHops counters via SwiftUIDebug.Stats() for the charter §5 exit
# #3 ratio gate. Non-animated benches (IntStateSetSame,
# CallbackDispatch*, LeafText, ModifierChain, etc.) must match the
# bench-p7-before.txt baseline within noise (charter §5 exit #4).
#
# Note: Go bench harness runs off the main OS thread, so mainHops
# stays zero within a bench window and the coalesceRatio metric is
# reported as NaN (unreported). The flagship-example counter reading
# is the ground-truth ratio; see P7.γ summary.
#
goos: darwin
goarch: arm64
pkg: github.com/tmc/swiftui
cpu: Apple M4 Max
BenchmarkIntStateSetSame-16             	1000000000	         1.534 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntStateSetSame-16             	1000000000	         1.536 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntStateSetSame-16             	1000000000	         1.532 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntStateSetSame-16             	1000000000	         1.533 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntStateSetSame-16             	1000000000	         1.532 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntStateSetSame-16             	1000000000	         1.537 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntStateSetSame-16             	1000000000	         1.535 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntStateSetSame-16             	1000000000	         1.540 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntStateSetSame-16             	1000000000	         1.535 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntStateSetSame-16             	1000000000	         1.540 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntStateSetChanging-16         	 7230009	       361.0 ns/op	      64 B/op	       3 allocs/op
BenchmarkIntStateSetChanging-16         	 6755200	       332.2 ns/op	      64 B/op	       3 allocs/op
BenchmarkIntStateSetChanging-16         	 7191414	       331.8 ns/op	      64 B/op	       3 allocs/op
BenchmarkIntStateSetChanging-16         	 7206100	       331.9 ns/op	      64 B/op	       3 allocs/op
BenchmarkIntStateSetChanging-16         	 7180670	       331.6 ns/op	      64 B/op	       3 allocs/op
BenchmarkIntStateSetChanging-16         	 7166730	       330.9 ns/op	      64 B/op	       3 allocs/op
BenchmarkIntStateSetChanging-16         	 7238191	       332.1 ns/op	      64 B/op	       3 allocs/op
BenchmarkIntStateSetChanging-16         	 7156170	       333.6 ns/op	      64 B/op	       3 allocs/op
BenchmarkIntStateSetChanging-16         	 7207768	       333.0 ns/op	      64 B/op	       3 allocs/op
BenchmarkIntStateSetChanging-16         	 7236812	       332.8 ns/op	      64 B/op	       3 allocs/op
BenchmarkStringStateSetSame-16          	647598925	         3.697 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringStateSetSame-16          	661500606	         3.634 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringStateSetSame-16          	644878288	         3.710 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringStateSetSame-16          	665869318	         3.750 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringStateSetSame-16          	630118068	         3.786 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringStateSetSame-16          	647266938	         3.728 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringStateSetSame-16          	649059644	         3.782 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringStateSetSame-16          	671380784	         3.738 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringStateSetSame-16          	644299984	         3.751 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringStateSetSame-16          	638981604	         3.692 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoolStateSetSame-16            	1000000000	         1.592 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoolStateSetSame-16            	1000000000	         1.579 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoolStateSetSame-16            	1000000000	         1.568 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoolStateSetSame-16            	1000000000	         1.571 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoolStateSetSame-16            	1000000000	         1.578 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoolStateSetSame-16            	1000000000	         1.581 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoolStateSetSame-16            	1000000000	         1.570 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoolStateSetSame-16            	1000000000	         1.568 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoolStateSetSame-16            	1000000000	         1.552 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoolStateSetSame-16            	1000000000	         1.538 ns/op	       0 B/op	       0 allocs/op
BenchmarkFloatStateSetSame-16           	1000000000	         2.305 ns/op	       0 B/op	       0 allocs/op
BenchmarkFloatStateSetSame-16           	1000000000	         2.313 ns/op	       0 B/op	       0 allocs/op
BenchmarkFloatStateSetSame-16           	1000000000	         2.309 ns/op	       0 B/op	       0 allocs/op
BenchmarkFloatStateSetSame-16           	1000000000	         2.308 ns/op	       0 B/op	       0 allocs/op
BenchmarkFloatStateSetSame-16           	1000000000	         2.309 ns/op	       0 B/op	       0 allocs/op
BenchmarkFloatStateSetSame-16           	1000000000	         2.301 ns/op	       0 B/op	       0 allocs/op
BenchmarkFloatStateSetSame-16           	1000000000	         2.302 ns/op	       0 B/op	       0 allocs/op
BenchmarkFloatStateSetSame-16           	1000000000	         2.302 ns/op	       0 B/op	       0 allocs/op
BenchmarkFloatStateSetSame-16           	1000000000	         2.301 ns/op	       0 B/op	       0 allocs/op
BenchmarkFloatStateSetSame-16           	1000000000	         2.302 ns/op	       0 B/op	       0 allocs/op
BenchmarkDateStateSetSame-16            	1000000000	         2.303 ns/op	       0 B/op	       0 allocs/op
BenchmarkDateStateSetSame-16            	1000000000	         2.304 ns/op	       0 B/op	       0 allocs/op
BenchmarkDateStateSetSame-16            	1000000000	         2.308 ns/op	       0 B/op	       0 allocs/op
BenchmarkDateStateSetSame-16            	1000000000	         2.305 ns/op	       0 B/op	       0 allocs/op
BenchmarkDateStateSetSame-16            	1000000000	         2.301 ns/op	       0 B/op	       0 allocs/op
BenchmarkDateStateSetSame-16            	1000000000	         2.302 ns/op	       0 B/op	       0 allocs/op
BenchmarkDateStateSetSame-16            	1000000000	         2.297 ns/op	       0 B/op	       0 allocs/op
BenchmarkDateStateSetSame-16            	1000000000	         2.301 ns/op	       0 B/op	       0 allocs/op
BenchmarkDateStateSetSame-16            	1000000000	         2.301 ns/op	       0 B/op	       0 allocs/op
BenchmarkDateStateSetSame-16            	1000000000	         2.299 ns/op	       0 B/op	       0 allocs/op
BenchmarkStateGenReadHot/int-16         	10660410	       226.2 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/int-16         	10567890	       227.4 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/int-16         	10692560	       225.8 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/int-16         	10704243	       226.0 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/int-16         	10707501	       227.0 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/int-16         	10649475	       226.0 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/int-16         	10632553	       225.1 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/int-16         	10695433	       225.2 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/int-16         	10655870	       225.9 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/int-16         	10670436	       225.7 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/string-16      	 7789227	       307.1 ns/op	      48 B/op	       4 allocs/op
BenchmarkStateGenReadHot/string-16      	 7779454	       308.9 ns/op	      48 B/op	       4 allocs/op
BenchmarkStateGenReadHot/string-16      	 7827230	       309.1 ns/op	      48 B/op	       4 allocs/op
BenchmarkStateGenReadHot/string-16      	 7722466	       308.7 ns/op	      48 B/op	       4 allocs/op
BenchmarkStateGenReadHot/string-16      	 7746456	       311.3 ns/op	      48 B/op	       4 allocs/op
BenchmarkStateGenReadHot/string-16      	 7711098	       309.0 ns/op	      48 B/op	       4 allocs/op
BenchmarkStateGenReadHot/string-16      	 7784230	       309.7 ns/op	      48 B/op	       4 allocs/op
BenchmarkStateGenReadHot/string-16      	 7743596	       310.1 ns/op	      48 B/op	       4 allocs/op
BenchmarkStateGenReadHot/string-16      	 7823046	       339.0 ns/op	      48 B/op	       4 allocs/op
BenchmarkStateGenReadHot/string-16      	 7719986	       310.6 ns/op	      48 B/op	       4 allocs/op
BenchmarkStateGenReadHot/float-16       	10761902	       222.1 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/float-16       	10830517	       222.6 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/float-16       	10800074	       222.7 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/float-16       	10814991	       223.0 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/float-16       	10852454	       223.3 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/float-16       	10793030	       222.4 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/float-16       	10723520	       222.1 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/float-16       	10546720	       222.0 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/float-16       	10796313	       222.5 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/float-16       	10798530	       222.3 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/bool-16        	10631299	       227.5 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/bool-16        	10595481	       227.4 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/bool-16        	10511356	       227.7 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/bool-16        	10571463	       227.1 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/bool-16        	10652013	       229.7 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/bool-16        	10510848	       228.7 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/bool-16        	10539184	       227.5 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/bool-16        	10591950	       231.3 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/bool-16        	10528958	       227.7 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/bool-16        	10630524	       226.8 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadMiss/int-16        	 4270802	       562.7 ns/op	     104 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/int-16        	 4285893	       583.5 ns/op	     104 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/int-16        	 4001918	       562.6 ns/op	     104 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/int-16        	 4276666	       695.1 ns/op	     104 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/int-16        	 4223570	       591.5 ns/op	     104 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/int-16        	 4267510	       562.8 ns/op	     104 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/int-16        	 4299638	       562.7 ns/op	     104 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/int-16        	 4267394	       565.3 ns/op	     104 B/op	       6 allocs/op
