# Machine: Apple M4 Max (Mac16,6)
# macOS: 26.4.1
# Go: go1.26.2
# Swift: release (SwiftUIBridge, embedded)
# Bridge: internal/embeddedbridge/libSwiftUIBridge.dylib
# go test -run='^$' -bench='^Benchmark(LeafText|LeafSpacer|LeafImage|ContainerBuild|ContainerBuildReuse|ContainerBuildNoReuse)$' -benchmem -count=10 -benchtime=2s .
# Pre-P6a state: VStack/HStack/ZStack and the lazy/aligned/spaced variants
# all allocate a fresh []uintptr scratch buffer per call via
#   ptrs := make([]uintptr, len(children))
# The +varargs Viewable slice also lands on the heap. Leaf constructors
# still allocate a *retained handle (the irreducible View floor) plus a
# withCString closure and sync.Pool interface boxing.
#
BenchmarkLeafText-16                 	 5953272	       404.7 ns/op	      80 B/op	       3 allocs/op
BenchmarkLeafText-16                 	 5875738	       401.7 ns/op	      80 B/op	       3 allocs/op
BenchmarkLeafText-16                 	 5960726	       404.5 ns/op	      80 B/op	       3 allocs/op
BenchmarkLeafText-16                 	 5947156	       403.4 ns/op	      80 B/op	       3 allocs/op
BenchmarkLeafText-16                 	 5902028	       402.8 ns/op	      80 B/op	       3 allocs/op
BenchmarkLeafText-16                 	 5943782	       404.3 ns/op	      80 B/op	       3 allocs/op
BenchmarkLeafText-16                 	 5947567	       404.4 ns/op	      80 B/op	       3 allocs/op
BenchmarkLeafText-16                 	 5958542	       403.8 ns/op	      80 B/op	       3 allocs/op
BenchmarkLeafText-16                 	 5912815	       403.4 ns/op	      80 B/op	       3 allocs/op
BenchmarkLeafText-16                 	 5926435	       403.8 ns/op	      80 B/op	       3 allocs/op
BenchmarkLeafSpacer-16               	 8430974	       282.9 ns/op	      80 B/op	       3 allocs/op
BenchmarkLeafSpacer-16               	 8526025	       283.1 ns/op	      80 B/op	       3 allocs/op
BenchmarkLeafSpacer-16               	 8470923	       284.8 ns/op	      80 B/op	       3 allocs/op
BenchmarkLeafSpacer-16               	 8372298	       283.8 ns/op	      80 B/op	       3 allocs/op
BenchmarkLeafSpacer-16               	 8412438	       285.1 ns/op	      80 B/op	       3 allocs/op
BenchmarkLeafSpacer-16               	 8330050	       285.8 ns/op	      80 B/op	       3 allocs/op
BenchmarkLeafSpacer-16               	 8384518	       285.4 ns/op	      80 B/op	       3 allocs/op
BenchmarkLeafSpacer-16               	 8420254	       284.8 ns/op	      80 B/op	       3 allocs/op
BenchmarkLeafSpacer-16               	 8479672	       285.3 ns/op	      80 B/op	       3 allocs/op
BenchmarkLeafSpacer-16               	 8431569	       285.0 ns/op	      80 B/op	       3 allocs/op
BenchmarkLeafImage-16                	 6216255	       376.1 ns/op	      80 B/op	       3 allocs/op
BenchmarkLeafImage-16                	 6354292	       378.0 ns/op	      80 B/op	       3 allocs/op
BenchmarkLeafImage-16                	 6387608	       377.4 ns/op	      80 B/op	       3 allocs/op
BenchmarkLeafImage-16                	 6314139	       375.7 ns/op	      80 B/op	       3 allocs/op
BenchmarkLeafImage-16                	 6358628	       377.2 ns/op	      80 B/op	       3 allocs/op
BenchmarkLeafImage-16                	 6362671	       378.9 ns/op	      80 B/op	       3 allocs/op
BenchmarkLeafImage-16                	 6403666	       378.7 ns/op	      80 B/op	       3 allocs/op
BenchmarkLeafImage-16                	 6274831	       374.8 ns/op	      80 B/op	       3 allocs/op
BenchmarkLeafImage-16                	 6441022	       376.4 ns/op	      80 B/op	       3 allocs/op
