# Machine: Apple M4 Max (Mac16,6)
# macOS: 26.4.1 (25E253)
# Go: go1.26.2
# Swift: release (SwiftUIBridge, prebuilt internal/embeddedbridge/libSwiftUIBridge.dylib)
# go test -run=nothing -bench='^Benchmark(IntStateSetSame|IntStateSetChanging|BoolStateSetSame|FloatStateSetSame|DateStateSetSame|StringStateSetSame|StateGenReadHot|StateGenReadMiss|CallbackDispatch|CallbackDispatchParallel|BoolCallbackDispatch|StringCallbackDispatch|LeafText|LeafSpacer|LeafImage|ContainerBuild|ContainerBuildReuse|ContainerBuildNoReuse|ModifierChain)$' -benchmem -count=10 -benchtime=2s .
# Pre-P7 baseline: animated state setters always hop through DispatchQueue.main.async
# (3 sites in bridge_state.gen.swift). P7.γ captures this baseline so P7.β integration
# can be measured. P7.γ adds new Animated* benches post-α/β landing; this baseline
# includes only the existing non-animated hot paths that must not regress (charter §5.4).
#
goos: darwin
goarch: arm64
pkg: github.com/tmc/swiftui
cpu: Apple M4 Max
BenchmarkIntStateSetSame-16             	1000000000	         1.533 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntStateSetSame-16             	1000000000	         1.533 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntStateSetSame-16             	1000000000	         1.533 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntStateSetSame-16             	1000000000	         1.534 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntStateSetSame-16             	1000000000	         1.533 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntStateSetSame-16             	1000000000	         1.533 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntStateSetSame-16             	1000000000	         1.534 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntStateSetSame-16             	1000000000	         1.535 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntStateSetSame-16             	1000000000	         1.534 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntStateSetSame-16             	1000000000	         1.535 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntStateSetChanging-16         	 7217492	       328.9 ns/op	      64 B/op	       3 allocs/op
BenchmarkIntStateSetChanging-16         	 7263710	       328.9 ns/op	      64 B/op	       3 allocs/op
BenchmarkIntStateSetChanging-16         	 7294260	       329.2 ns/op	      64 B/op	       3 allocs/op
BenchmarkIntStateSetChanging-16         	 7316308	       328.6 ns/op	      64 B/op	       3 allocs/op
BenchmarkIntStateSetChanging-16         	 7230546	       329.3 ns/op	      64 B/op	       3 allocs/op
BenchmarkIntStateSetChanging-16         	 7269915	       328.7 ns/op	      64 B/op	       3 allocs/op
BenchmarkIntStateSetChanging-16         	 7331150	       328.8 ns/op	      64 B/op	       3 allocs/op
BenchmarkIntStateSetChanging-16         	 7326770	       329.0 ns/op	      64 B/op	       3 allocs/op
BenchmarkIntStateSetChanging-16         	 7235763	       398.2 ns/op	      64 B/op	       3 allocs/op
BenchmarkIntStateSetChanging-16         	 6281448	       426.9 ns/op	      64 B/op	       3 allocs/op
BenchmarkStringStateSetSame-16          	493358840	         4.405 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringStateSetSame-16          	599315593	         3.938 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringStateSetSame-16          	630411578	         3.773 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringStateSetSame-16          	651579582	         3.715 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringStateSetSame-16          	664355338	         3.763 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringStateSetSame-16          	626879618	         3.729 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringStateSetSame-16          	630070162	         3.744 ns/op	       0 B/op	       0 allocs/op
